Polish,English
dupku,asshole
facetów,guys
czekajcie,wait
biegnij,run
obu,both
decyzję,decision
waszej,yours
steve,steve
drugiego,the second
szaleństwo,madness
Jerry,Jerry
język,Tongue
lubią,they like
obudź,wake up
gówna,shit
wygrać,win
spróbuję,I'll try
przyszedłeś,you came
wiec,So
leo,Leo
względu,no matter
odnaleźć,find
układ,system
sens,sense
psy,dogs
oczach,eyes
śmiercią,death
uciekł,he escaped
zaufać,trust
czasy,times
ruszamy,let's go
zabiorę,I'll take it
bycie,being
interesy,business
oczu,eyes
szans,chances
nazywają,they call
wyniki,results
miliony,millions
miła,nice
wątpię,I doubt it
nieba,heaven
inna,different
sukinsyn,son of a bitch
południe,south
armii,army
bawić,have fun
zazwyczaj,usually
wydarzyło,happened
punkt,point
dostałeś,you got it
pozwoli,will allow
następnego,next
zdecydowanie,definitely
mówili,they said
prowadzić,to lead
stop,Stop
oglądać,to watch
woli,will
kłopotów,trouble
ziemia,earth
innej,another
dziećmi,children
sto,hundred
indziej,else
bratem,brother
daleka,far away
szanse,chances
dzwoni,calls
widzieliśmy,we saw
van,van
budynek,building
synchro,synchro
bierze,takes
warto,it's worth it
musze,I have to
umysł,mind
mego,mine
detektyw,detective
każde,each
konia,horse
zmiany,changes
różnica,difference
robiłem,I did
długi,long
listę,list
hmm,hmm
duża,big
pomaga,helps
własnego,own
musiałam,I had to
wujek,uncle
nóż,knife
żadna,none
państwa,countries
niektóre,some
podziękować,thank
nadchodzi,is coming
żyję,is alive
tamtej,that one
zostali,they stayed
cholernie,damned
larry,Larry
radio,radio
bólu,pain
ha,ha
walka,fight
zabierzcie,take it away
zniknął,disappeared
wiedzieli,they knew
chciałaś,you wanted
doktora,doctor
prawdziwym,real
wyglądać,look
przekonać,to convince
pytam,I'm asking
wyluzuj,relax
dowie,will find out
trwa,lasts
znajduje,finds
poznałem,I met
ojcu,father
ostatnich,last
al,al
wolność,freedom
łeb,head
strzelaj,shoot
myślał,he thought
zabiją,they will kill
wychodzę,I'm leaving
posłuchać,listen
strzał,shot
kinomania,cinephilia
utrzymać,maintain
cholerny,damn
kasy,cash register
potrzebują,they need
okolicy,area
wolności,freedom
czułem,I felt
Carter,Carter
Jones,Jones
opowiedz,tell me
łodzi,boat
prosze,Please
czasów,times
minęło,passed
widziała,she saw
północy,midnight
ruchy,movements
ku,to
pokładzie,board
absolutnie,absolutely
vegas,vegas
małym,small
cisza,silence
klasy,classes
czekają,they are waiting
pytasz,you ask
nos,nose
przejmuj,take over
szlag,damn
mamą,mother
wierzy,he believes
lepszego,better
zabili,they killed
okropne,terrible
śmiało,go ahead
sali,hall
sprawdzę,I'll check
następne,next
powtarzam,I repeat
mieszkania,apartments
bój,funk
wraz,together
pańska,yours
zmarł,died
czterech,four
uczucia,feelings
czytać,to read
podejdź,come over
uwierz,believe me
doceniam,I appreciate
warte,worth it
czyżby,maybe
pańskie,yours
zero,zero
różnych,various
zobaczyłem,I saw
bomba,bomb
nowej,new one
pamięć,memory
taty,dad
zastanawiam,I wonder
klucze,keys
wróć,come back
rzeczą,thing
własny,own
przyjdę,I'll come
przypomina,reminds
danych,data
tatuś,daddy
przeszłości,the past
pochodzi,comes
zobaczy,he will see
napisane,written
mark,mark
mężem,husband
drogą,way
ubrania,clothes
akta,files
widzimy,we see
jakiejś,some
brian,Brian
żadne,none
ufać,trust
najważniejsze,the most important thing
doczekać,wait
sklepu,store
szczególnie,especially
północ,midnight
zostawię,I'll leave it
hatak,hatak
bazy,bases
podróży,travel
ręki,hands
prezydencie,president
spytać,ask
Chicago,Chicago
piątek,Friday
Charles,Charles
decyzja,decision
potrzebna,needed
ocalić,save
lewej,left
pojechać,go
obie,both
Rose,Rose
Amy,Amy
dopasowane,fitted
pić,drink
mojemu,mine
zmęczony,tired
wchodzi,comes in
randkę,date
grupy,groups
pieprz,pepper
waszych,yours
potrwa,it will take
bezpieczny,safe
gorąco,hot
stracił,lost
miecz,sword
pamięta,remembers
łatwe,easy
siłę,strength
zaczniemy,we'll start
wyjdziesz,you will leave
własnym,own
pospiesz,hurry up
słyszeć,to hear
śpi,sleeps
zbliża,getting closer
czekamy,we are waiting
kieszeni,pocket
świąt,world
stóp,Stop
zdarza,it happens
nogę,leg
generał,general
żołnierzy,soldiers
przeszkadza,disturbing
zajmuje,occupies
sprzęt,equipment
miałby,would have
wyszła,she left
silny,strong
szefa,boss
słodki,sweet
dostęp,access
spotkania,meetings
porozmawiamy,we'll talk
ufam,I trust
dowodów,evidence
winny,guilty
new,new
dzwonię,I'm calling
firma,business
zginąć,die
trzymajcie,hold on
złym,bad
swoimi,with their own
głęboko,deep
małżeństwo,marriage
pełne,full
bierzesz,you take it
nieprawdaż,isn't it?
ranny,early
martwię,I'm worried
stanu,state
komputer,computer
połóż,put
auto,car
równie,as
założyć,to establish
zapewne,probably
nadszedł,it has come
kwiaty,flowers
niedaleko,near
wroga,enemy
paru,a few
dziwnego,strange
ameryki,america
cos,something
napiprojekt,napiprojekt
liczyć,to count
wiatr,wind
staje,stops
kawał,piece
straciliśmy,we lost
szkoła,school
zęby,To
zaszczyt,honor
zachować,keep
znaczenie,meaning
energii,energy
zaczekać,wait
potrzeby,needs
misji,mission
przyjemnością,pleasure
waszym,yours
możliwość,possibility
najszybciej,fastest
joey,joey
piłkę,ball
jakich,what
armia,army
zechcesz,you want
czerwony,red
stacji,station
byłaby,would be
cenę,price
dobrych,good ones
strachu,fear
musiałeś,you had to
cia,body
gratuluję,congratulations
wyjechać,leave
gdybyśmy,if we
pole,field
forsy,money
hotel,hotel
zapach,smell
zmieniło,changed
zabrali,they took it away
wojnie,war
mieszkam,I live
starego,old
oddział,branch
ted,ted
sklep,store
bezpiecznie,safely
house,house
odszedł,he left
królem,king
samolotu,plane
emily,emily
planu,plan
wróciłem,I'm back
jutra,tomorrow
brawo,way to go
boi,afraid
minutę,minute
bezpieczne,safe
kontroli,control
bzdury,Nonsense
ducha,spirit
pomyśleć,think
znacznie,much
dała,she gave
miały,they had
moze,Maybe
czysty,clean
profesorze,Professor
byłbym,I would
otwieraj,open
lot,flight
wyobrazić,imagine
zadowolony,content
domem,home
sprzedać,sell
przyniosę,I'll bring it
zdejmij,take it off
głową,head
martin,Martin
celem,goal
skończył,he finished
mężczyźni,men
musiało,it had to
tygodnia,week
żartuję,kidding
zasadzie,basically
przekazać,to pass
mogłaby,she could
don,don
móc,power
dałeś,you gave
zostaną,they will stay
obejrzeć,see
mogłoby,could
mamę,mom
wyszło,it worked out
zamian,exchange
umowę,contract
auta,cars
pomocą,help
umowa,agreement
śmieci,garbage
restauracji,restaurant
dan,dan
zacząłem,I started
normalnie,normally
odsuń,move away
kontrolę,control
sądu,court
mamie,mom
wszystkimi,everyone
znajdą,they will find
jestes,You are
tatusiu,daddy
zrobią,they will do
przyjechał,he arrived
kurs,course
chuck,chuck
rusz,move
eric,eric
spotkałem,I met
zostawcie,leave it
kompletnie,totally
troszkę,a little
dokumenty,documents
pamięci,memory
przeznaczenie,destiny
najlepszych,the best
zaczęła,she started
seksu,sex
duszę,soul
poprzez,by
moge,I can
przynieść,bring
samobójstwo,suicide
napisał,he wrote
robiłeś,you did
ross,ross
pełno,full
rzeki,rivers
wyciągnąć,draw out
potrzebować,need
córką,daughter
książka,book
zwierzęta,animals
podobało,liked it
ruchu,traffic
wyjdę,I'll leave
zabijesz,you will kill
długa,long
setki,hundreds
gwiazdy,stars
załatwię,I'll arrange it
bracia,brethren
zabijać,kill
wino,wine
trzeci,third
waszą,yours
bond,bond
stanów,states
patrzę,I'm looking
nawzajem,Mutually
aha,I see
kevin,kevin
gliną,clay
tamtego,that one
ryby,fish
morderstwa,murders
podnieś,pick up
annie,annie
gdziekolwiek,wherever
dwaj,two
prawej,right
kapitana,captain
las,forest
połowę,half
subgroup,subgroup
wyłącz,off
niedobrze,not good
udowodnić,prove
walter,Walter
zabija,kills
kurde,damn
planety,planets
proces,process
zejdź,come down
okoliczności,circumstances
zmienił,changed
książę,prince
barze,bar
siostrę,sister
kościoła,church
spodnie,Pants
mieszkasz,you live
kwestia,issue
wyglądał,looked
anglii,england
patrzysz,you look
bohaterem,hero
sytuację,situation
wątpliwości,doubts
patrzy,looks
sądziłem,I thought
niebo,sky
niezbyt,not very
sumie,all in all
ręka,hand
pete,pete
zadzwonił,he called
jenny,jenny
dachu,roof
powrót,return
słyszałaś,you heard
ledwo,barely
konieczne,necessary
fps,fps
widzieliście,you saw
czyni,makes
zmiana,Change
zadać,demand
sukinsynu,son of a bitch
doprawdy,really
mogliśmy,we could
uczyć,teach
pragnę,I want
pogadamy,we'll talk
umie,knows
powinniście,you should
wróciła,she's back
tysiąc,thousand
byliście,you were
normalne,normal
przedstawić,present
matt,Matt
zachód,West
robert,robert
prędzej,sooner
zostałeś,you stayed
prawdziwą,real
amen,Amen
sztuki,art
sprawą,thing
ryzyko,risk
używać,use
duch,ghost
stole,table
plaży,beach
nosi,wears
żebyście,so that you
cofnąć,undo
parku,park
napić,drink
wolne,free
rzucić,quit
zabieraj,take it away
badań,research
przyszłym,future
próbujesz,you try
porucznik,lieutenant
poważne,serious
dotąd,so far
środek,middle
bezpieczna,safe
zamiaru,intention
trzymam,I'm holding it
umarła,she died
dziewczynki,girls
ukryć,hide
wchodzę,I'm coming in
sklepie,store
dotrzeć,reach
chwilą,one sec
odpowiada,replies
obrony,defense
trzymasz,you hold
pisać,to write
pozwolenie,permission
gadasz,you're talking
waszego,yours
winy,guilt
mistrz,master
mogłaś,you could
życzę,I wish
czasach,times
funtów,pounds
systemu,system
imprezę,party
jazdy,driving
pozwala,allows
jean,jean
pomógł,helped
dużą,big
jacka,jack
rozmowa,conversation
jedi,jedi
napisać,write
darmo,free
suko,bitch
przygotuj,prepare
fajne,cool
słyszał,he heard
dziwny,weird
pewnym,certain
grace,Grace
którymi,which
znacie,you know
william,william
władzy,power
narkotyki,drugs
alan,alan
zrozumiano,understood
służyć,serve
dzwoń,bell
drzwiami,door
samych,alone
bilety,tickets
interesujące,interesting
czekał,he waited
znałem,I knew
jezus,Jesus
sercu,heart
pewność,confidence
przeprosić,apologize
przeszłość,past
jednostki,units
czynienia,dealing
uważać,be careful
dziadek,grandpa
pisze,I'm writing
ciężkie,heavy
znaleziono,found
wybierasz,you choose
chora,sick
słuchasz,you are listening
przyjąć,adopt
powietrza,air
jaj,eggs
smith,smith
mając,having
bać,afraid
wieczoru,evening
meksyku,Mexico
zajmij,occupy
projekt,design
oczywiste,obvious
gościem,guest
pieprzone,fucking
kelly,kelly
kamery,cameras
większe,bigger
powodów,reasons
dzieciaka,kid
wejście,entry
mylisz,you're wrong
bedzie,will be
thomas,thomas
babcia,grandmother
nosić,to wear
znalazła,she found it
klubu,club
okazję,opportunity
chłopcem,boy
połowa,half
niebie,heaven
czyste,clean
kolor,color
cholerne,damn
muzykę,music
tv,tv
drzewa,trees
najlepszą,the best
narkotyków,drugs
niewiarygodne,unbelievable
miami,Miami
zrobione,done
kumpel,buddy
twego,yours
lucy,lucy
żałuję,I regret
wschód,east
klientów,customers
władzę,authorities
wymaga,requires
biedny,poor
uśmiech,smile
zobaczył,saw
kupiłem,I bought
pomyłka,mistake
carl,Carl
szeryfie,Sheriff
nareszcie,at last
pracowałem,I was working
city,city
zacznij,start
poradzić,help
święty,holy
wyjątkiem,except
bilet,ticket
zginie,will die
daniel,daniel
żołnierze,soldiers
mb,meters
przyda,useful
cudowne,wonderful
łatwiej,easier
wyglądało,it looked like
złota,gold
kolana,knees
spędzić,spend
przeżyć,survive
sądzi,he thinks
drużyny,teams
wsparcie,support
majorze,Major
ofiar,victims
wesołych,Happy
odpowiedzialny,responsible
ofiara,victim
brakowało,was missing
sekret,secret
pierdolony,fucking
powinny,they should
oddech,breath
zajęcia,classes
ah,ah
wykorzystać,to use
raka,cancer
chcieliśmy,we wanted
muzyki,music
dar,gift
siostro,sister
studia,studies
będąc,being
jason,jason
red,ed
znał,he knew
jesli,If
słyszy,hears
Luke,Luke
problemem,problem
skrzywdzić,hurt
potrafią,they can
street,street
czysto,purely
Jackson,Jackson
śledztwo,investigation
siostrą,sister
wolałbym,I would rather
Susan,Susan
próba,attempt
sił,forces
piersi,breasts
działo,gun
stopy,feet
twoimi,yours
najmniej,least
dziewczyn,girls
witajcie,hello
plecy,back
Elizabeth,Elizabeth
bogiem,god
dali,they gave
pijany,drunk
wyspie,island
punkcie,point
zabójca,killer
kościół,church
winien,should
wszedł,came in
dziwka,whore
oddychać,breathe
służby,services
duszy,soul
zdarzyło,happened
zagrać,play
umrę,I will die
Lisa,Lisa
pełna,full
pokład,deck
szacunku,respect
odbiło,it bounced back
pozwolisz,you will allow it
klubie,club
czytałem,I was reading
wiedziałaś,you knew
rąk,cancer
zasad,rules
zdjęć,photos
osobę,person
małej,little one
zróbcie,do it
wróciłeś,you're back
dostałam,I received
wielkiej,great
kontynuować,to continue
Ryan,Ryan
oddychaj,breathe
poczucie,sense
terry,Terry
idealnie,perfectly
udawać,to pretend
imienia,name
zapytaj,ask
francji,France
udać,succeed
kontrolować,control
matko,mother
pojadę,I'll go
anna,Anna
zauważyłem,I noticed
boku,side
działania,actions
uszy,ears
zdjąć,take off
cud,miracle
wysoko,high
poszedłem,I went
movie,movie
akt,act
drużyna,team
pułkownik,colonel
jasno,clearly
park,park
latać,fly
filmie,movie
wydawało,it seemed
zachowanie,behavior
doszło,it happened
okna,windows
przyjaciółka,friend
scott,scott
strona,side
impreza,party
suka,female dog
ciśnienie,pressure
angielsku,English
przypuszczam,I suppose
posłuchajcie,listen
uważnie,carefully
kartę,card
dupie,ass
dziewięć,nine
kamień,stone
ludzkie,human
upewnić,make sure
zapłacę,I will pay
autobus,bus
tęsknię,I miss
południu,noon
żonaty,married
rachunek,Bill
próbowałam,I tried
dajesz,you give
wierz,believe
liceum,high school
wziąłem,I took it
złoto,gold
odpowiedzieć,reply
biorąc,taking
stała,constant
zabiła,she killed
nadziei,hope
ściany,walls
wykonać,perform
oddam,I'll give it back
odpocząć,to rest
zło,evil
miej,have
mieszkaniu,apartment
cofnij,undo
profesor,professor
zrobienia,to do
ważny,important
krwią,blood
zeszłej,last year
piekło,hell
wakacje,holidays
przedtem,before
pozwólcie,let me
pamiętać,remember
oby,may
ust,paragraph
dzieła,works
um,um
wprost,directly
pełni,full
najgorsze,the worst
tylu,so many
obecnie,Currently
scenariusz,scenario
helen,Helen
misja,mission
kłamiesz,you're lying
pojawił,appeared
grozi,threatens
piekła,hell
operacja,operation
wozu,car
sąd,court
chłopie,boy
byle,any
hank,Hank
pośpiesz,hurry up
karen,Karen
ciemności,darkness
okiem,eye
pozycji,position
przedstawienie,show
zasada,principle
chłopców,boys
bomby,bombs
żonie,wife
kluczyki,keys
klasie,class
ostatniego,last one
ed,ed
prawdziwego,real
kochał,he loved
znają,they know
mężczyznę,man
mądry,wise
grasz,you play
palców,fingers
idiota,idiot
łóżko,bed
wodą,water
odciski,prints
mieszkać,to live
morderca,murderer
przypadkiem,by chance
wolna,Free
połowie,half
szkołę,school
wyłączyć,turn off
prysznic,shower
johna,john
pokonać,defeat
ramię,arm
mamusiu,Mommy
przyszłam,I came
słodkie,sweet
kawałki,pieces
pańskiej,yours
piwnicy,basement
wysłał,sent
zegarek,watch
dookoła,around
ciężki,heavy
polega,relies
stopni,degrees
samochodem,by car
nazywał,he called
połączenie,connection
plus,plus
zastanawiałem,I wondered
przerwy,breaks
prawdą,TRUE
rada,advice
pyta,he asks
postawić,put
ukradł,stole
urządzenie,device
przystojny,handsome
agencie,agent
umrzesz,you will die
siedział,he was sitting
simon,Simon
własnych,own
lotnisko,airport
phoebe,phoebe
zapomniałeś,you forgot
kupił,bought
punktu,point
chwile,times
zakupy,shopping
szukają,they are looking for
okazało,it turned out
poniedziałek,Monday
palce,fingers
pojedziemy,we will go
ręką,hand
adam,adam
tajemnicy,secret
poprostu,simply
wstać,get up
drzewo,tree
odpowiedz,answer
zmęczona,tired
skończyła,she finished
szpital,hospital
wujku,uncle
trakcie,during
zostawiłem,I left it
kosztuje,costs
okropnie,terrible
dają,they give
kolejna,another one
wychodzić,go out
gazety,newspapers
okres,period
przyjdziesz,you will come
miejsc,places
działają,they work
matce,mother
bronić,defend
zjednoczonych,united
rzeczywistości,reality
wpadł,he fell in
tańczyć,dance
ameryce,america
goście,guests
twarzą,face
uwolnić,release
zacznę,I'll start
przerwę,break
ochrona,security
detektywie,detective
komórki,cells
zakończyć,end
prosił,he asked
litość,mercy
niedawno,recently
obrazy,pictures
alice,alice
zabawny,funny
ono,it
pełen,full
gejem,gay
piosenkę,song
zapomniałam,I forgot
rozmawiam,I'm talking
samochody,cars
wziąłeś,you took it
spotkaliśmy,we met
szacunkiem,respect
większy,greater
królowa,queen
próbuj,try
zdaniem,in my opinion
łazienki,bathrooms
wpaść,drop by
taniec,dance
para,couple
czysta,clean
używa,uses
szczery,honest
siła,force
herbaty,tea
chciałabyś,you would like to
czekałem,I waited
dźwięk,sound
tamten,that
wspomnienia,memories
odeszła,she left
położyć,put
sześciu,six
kłamstwo,lie
dotyczy,refers to
rusza,moves
leki,medicines
siedzisz,you are sitting
nagrodę,reward
bar,bar
pracujemy,we are working
operację,surgery
programu,program
żyjemy,we are alive
wywiad,interview
robin,robin
jemu,him
celi,cell
wstyd,shame
dawać,give
pilnuj,keep an eye on it
swojemu,to your own
chłopakiem,boyfriend
com,com
palec,finger
radzę,I advise
muzeum,museum
cierpię,I'm suffering
przyszło,it came
show,show
zmarła,died
walkę,fight
rządu,government
znieść,bear
aresztowany,arrested
julie,Julie
przyjdź,come
ważnego,important
grane,played
sierżant,sergeant
pomóżcie,help
marty,marty
starym,old
dostaje,gets
dupkiem,asshole
pozycję,position
starych,old ones
chuja,dick
piękną,Beautiful
przeczytać,read
odwiedzić,visit
ostrożny,careful
opowiedzieć,tell
kolacji,dinner
podobnie,similarly
weźmiemy,we will take it
klub,club
sa,are
szukałem,I was looking
bycia,being
poważny,serious
talent,talent
braci,brothers
tatą,dad
przyjaciółką,friend
białe,white
załatwione,settled
